username,user id,access hash,name,group,group id
,5558272749,5474830106119090026,Шах,Ernar Aidar Chat,1252395723
dumanzhan_official,1339944849,2730468360917668143,Dumanzhan,Ernar Aidar Chat,1252395723
,1107037912,-4564806773960666836,Айка,Ernar Aidar Chat,1252395723
ka_myrzaaa,960081007,8402846419084999928,Асылжан Калмен,Ernar Aidar Chat,1252395723
Antiengbot,905235904,-1259970474818233171,Anti English,Ernar Aidar Chat,1252395723
believemusickz,1202505387,-6175440746223417644,Believe Music Kazakstan,Ernar Aidar Chat,1252395723
ernar_aidar_bot,1232311429,-2969830550602836913,Ernar Aidar,Ernar Aidar Chat,1252395723
fovbot,406069584,2564286686306921761,fovbot,Ernar Aidar Chat,1252395723
